matchid,inningsid,overid,deliveryid,contr
1473438.0,1.0,19,5,-2.496752799823758
1473438.0,1.0,19,6,-0.3998591114061343
1473438.0,2.0,0,1,3.3642373963557652
1473438.0,2.0,0,3,-0.7937775918270058
1473438.0,2.0,0,4,-0.8848397509214971
1473438.0,2.0,0,5,0.05961055837436269
1473438.0,2.0,0,6,3.323895448758112
1473438.0,2.0,0,7,1.164418984827268
1473438.0,2.0,1,1,-0.8841035617746622
1473438.0,2.0,1,2,-0.9309172924217644
1473438.0,2.0,1,3,3.0267009429015737
1473438.0,2.0,1,4,-0.9858892641607435
1473438.0,2.0,1,5,-0.999000351059163
1473438.0,2.0,1,6,-1.017550458946982
1473438.0,2.0,2,1,2.8351947603949164
1473438.0,2.0,2,2,4.819704865610692
1473438.0,2.0,2,3,-0.19290521287775797
1473438.0,2.0,2,4,2.9488613260562495
1473438.0,2.0,2,5,-0.12286167422159289
1473438.0,2.0,2,6,2.755844528217029
1473438.0,2.0,3,1,0.004677434421910709
1473438.0,2.0,3,2,0.9232138118587903
1473438.0,2.0,3,3,2.905884422290189
1473438.0,2.0,3,4,4.888358933100211
1473438.0,2.0,3,5,2.870591344131345
1473438.0,2.0,3,6,2.854544585009382
1473438.0,2.0,4,1,4.805276677362276
1473438.0,2.0,4,2,4.755551567885124
1473438.0,2.0,4,3,-1.2616973929965918
1473438.0,2.0,4,4,-0.278899048831857
1473438.0,2.0,4,5,-1.296028320964677
1473438.0,2.0,4,6,2.685233563094858
1473438.0,2.0,5,1,-1.3633110550742453
1473438.0,2.0,5,2,-0.38126067738248204
1473438.0,2.0,5,3,-1.3988106183994484
1473438.0,2.0,5,4,-0.4158933549667092
1473438.0,2.0,5,5,0.5676069371789259
1473438.0,2.0,5,6,-0.4452079637789661
1473438.0,2.0,6,1,-1.0775312997555597
1473438.0,2.0,6,2,2.9132228823510395
1473438.0,2.0,6,3,-0.09607060403346801
1473438.0,2.0,6,4,-1.1054015747123282
1473438.0,2.0,6,5,-0.114744874374207
1473438.0,2.0,6,6,-1.1228669424260824
1473438.0,2.0,7,1,-1.0879421934814213
1473438.0,2.0,7,2,-1.0969376462263762
1473438.0,2.0,7,3,-0.1060389736794145
1473438.0,2.0,7,4,-0.11525062172335887
1473438.0,2.0,7,5,-0.12458642971821754
1473438.0,2.0,7,6,-0.13496333176899733
1473438.0,2.0,8,1,2.8056617263112607
1473438.0,2.0,8,2,-1.2045944108367872
1473438.0,2.0,8,3,-6.139745190465401
1473438.0,2.0,8,4,-0.6606510964875236
1473438.0,2.0,8,5,-0.8401254117873089
1473438.0,2.0,8,6,0.04981836555706187
1473438.0,2.0,9,1,0.030002674017555853
1473438.0,2.0,9,2,-1.1187435922341928
1473438.0,2.0,9,3,-0.13100063738333412
1473438.0,2.0,9,4,-0.05522301268257146
1473438.0,2.0,9,5,-0.15244034015433905
1473438.0,2.0,9,6,2.876415186115697
1473438.0,2.0,10,1,-0.2247396750401658
1473438.0,2.0,10,2,-0.2367842913189373
1473438.0,2.0,10,3,4.75111937940321
1473438.0,2.0,10,4,-0.2610202275637017
1473438.0,2.0,10,5,-0.27317762622641006
1473438.0,2.0,10,6,-0.28407628416183806
1473438.0,2.0,11,1,-0.24007607369493322
1473438.0,2.0,11,2,-0.25155796605831093
1473438.0,2.0,11,3,-0.2631727187277699
1473438.0,2.0,11,4,-5.257625804596028
1473438.0,2.0,11,5,-0.708568529963227
1473438.0,2.0,11,6,0.11388691113768679
1473438.0,2.0,12,1,-1.19780413537411
1473438.0,2.0,12,2,-1.2766125934105867
1473438.0,2.0,12,3,0.6583769183448458
1473438.0,2.0,12,4,-0.39888271878293957
1473438.0,2.0,12,5,2.548587689056138
1473438.0,2.0,12,6,-0.46439318413159136
1473438.0,2.0,13,1,-0.2963857790879525
1473438.0,2.0,13,2,4.6897900074945404
1473438.0,2.0,13,3,-0.32419348665112246
1473438.0,2.0,13,4,-0.33834540439510996
1473438.0,2.0,13,5,-0.3526931799438098
1473438.0,2.0,13,6,-0.36878800650545096
1473438.0,2.0,14,1,-0.5815140486628219
1473438.0,2.0,14,2,2.4017671524597723
1473438.0,2.0,14,3,2.385121715601887
1473438.0,2.0,14,4,0.36857716577597066
1473438.0,2.0,14,5,2.352179811656807
1473438.0,2.0,14,6,2.336970201087542
1473438.0,2.0,15,1,-0.7436449894613413
1473438.0,2.0,15,2,2.240954834239819
1473438.0,2.0,15,3,-4.153001089226063
1473438.0,2.0,15,4,2.783158106732646
1473438.0,2.0,15,5,-1.4128001717902985
1473438.0,2.0,15,6,-0.5312930336594912
1473438.0,2.0,16,1,4.545407107198894
1473438.0,2.0,16,2,2.4723225443412566
1473439.0,1.0,0,1,-0.4414291689184433
1473439.0,1.0,0,2,-0.5993516910581713
1473439.0,1.0,0,3,3.309322967835147
1473439.0,1.0,0,4,3.2429612025861054
1473439.0,1.0,0,5,0.22243311723603987
1473439.0,1.0,0,6,0.5036769696249512
1473439.0,1.0,1,1,0.0723537693152313
1473439.0,1.0,1,3,1.2543822058351173
1473439.0,1.0,1,4,-0.816589130650254
1473439.0,1.0,1,5,-0.8740032221700569
1473439.0,1.0,1,6,3.0762868398268104
1473439.0,1.0,1,7,5.031133620997583
1473439.0,1.0,1,8,-0.9857443398360142
1473439.0,1.0,2,1,3.067652608144318
1473439.0,1.0,2,2,3.0237851002706186
1473439.0,1.0,2,3,3.0078593669251923
